,,,,,,
,Sep 7,Monday,Labor Day,Federal Holiday,,
,Sep 9,Wednesday,California Admission Day,Local observance,,
,Sep 11,Friday,Patriot Day,Observance,,
,Sep 12,Saturday,Carl Garner Federal Lands Cleanup Day,Observance,,
,Sep 13,Sunday,National Grandparents Day,Observance,,
,Sep 14,Monday,Rosh Hashana,State holiday,,
,Sep 14,Monday,Rosh Hashana,Jewish holiday,,
,Sep 17,Thursday,Constitution Day and Citizenship Day,Observance,,
,Sep 18,Friday,Air Force Birthday,Observance,,
,Sep 18,Friday,National POW/MIA Recognition Day,Observance,,
,Sep 22,Tuesday,Emancipation Day,Local observance,,
,Sep 23,Wednesday,Yom Kippur,State holiday,,
,Sep 23,Wednesday,Yom Kippur,Jewish holiday,,
,Sep 23,Wednesday,September equinox,Season,,
,Sep 24,Thursday,Eid al-Adha,Muslim,,
,Sep 25,Friday,Native Americans' Day,Local observance,,
,Sep 27,Sunday,Gold Star Mother's Day,Observance,,
,Sep 28,Monday,First Day of Sukkot,Jewish holiday,,
,Oct 4,Sunday,Feast of St Francis of Assisi,Christian,,
,Oct 4,Sunday,Last Day of Sukkot,Jewish holiday,,
,Oct 5,Monday,Shmini Atzeret,Jewish holiday,,
,Oct 5,Monday,Child Health Day,Observance,,
,Oct 6,Tuesday,Simchat Torah,Jewish holiday,,
,Oct 9,Friday,Leif Erikson Day,Observance,,
,Oct 12,Monday,Columbus Day,Local observance,,
,Oct 12,Monday,Columbus Day,Federal Holiday,,
,Oct 12,Monday,Native Americans' Day,Local observance,,
,Oct 12,Monday,Indigenous People's Day,Local observance,,
,Oct 13,Tuesday,Navy Birthday,Observance,,
,Oct 15,Thursday,Muharram,Muslim,,
,Oct 15,Thursday,White Cane Safety Day,Observance,,
,Oct 16,Friday,Boss's Day,Observance,,
,Oct 18,Sunday,Alaska Day,State holiday,,
,Oct 19,Monday,Alaska Day observed,State holiday,,
,Oct 30,Friday,Nevada Day,State holiday,,
,Oct 31,Saturday,Halloween,Observance,,
,Nov 1,Sunday,All Saints' Day,Christian,,
,Nov 1,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time,,
,Nov 2,Monday,All Souls' Day,Christian,,
,Nov 3,Tuesday,Election Day,State holiday,,
,Nov 10,Tuesday,Marine Corps Birthday,Observance,,
,Nov 10,Tuesday,Diwali/Deepavali,Observance,,
,Nov 11,Wednesday,Veterans Day,Federal Holiday,,
,Nov 26,Thursday,Thanksgiving Day,Federal Holiday,,
,Nov 27,Friday,Robert E Lee's Birthday,State holiday,,
,Nov 27,Friday,Presidents' Day,State holiday,,
,Nov 27,Friday,Lincoln's Birthday/Lincoln's Day,State holiday,,
,Nov 27,Friday,Black Friday,State holiday,,
,Nov 27,Friday,American Indian Heritage Day,State holiday,,
,Nov 29,Sunday,First Sunday of Advent,Christian,,
,Nov 30,Monday,Cyber Monday,Observance,,
,Dec 6,Sunday,St Nicholas' Day,Observance,,
,Dec 7,Monday,Chanukah/Hanukkah (first day),Jewish holiday,,
,Dec 7,Monday,Pearl Harbor Remembrance Day,Observance,,
,Dec 8,Tuesday,Feast of the Immaculate Conception,Christian,,
,Dec 12,Saturday,Feast of Our Lady of Guadalupe,Observance,,
,Dec 13,Sunday,National Guard Birthday,Observance,,
,Dec 14,Monday,Last Day of Chanukah,Jewish holiday,,
,Dec 17,Thursday,Pan American Aviation Day,Observance,,
,Dec 17,Thursday,Wright Brothers Day,Observance,,
,Dec 22,Tuesday,December Solstice,Season,,
,Dec 24,Thursday,The Prophet's Birthday,Muslim,,
,Dec 24,Thursday,Christmas Eve,State holiday,,
,Dec 24,Thursday,Christmas Eve,"Observance, Christian",,
,Dec 24,Thursday,Washington's Birthday,State holiday,,
,Dec 25,Friday,Christmas Day,Federal Holiday,,
,Dec 26,Saturday,Kwanzaa (until Jan 1),Observance,,
,Dec 26,Saturday,Day After Christmas Day,Observance,,
,Dec 26,Saturday,Day After Christmas Day,State holiday,,
,Dec 31,Thursday,New Year's Eve,State holiday,,
,Dec 31,Thursday,New Year's Eve,Observance,,
